id,asking_price,body_corp,internal_m2,balcony_m2,beds,suburb,livability,condition,has_cladding,travel_time_mins,sold_date,has_parking,has_storage,has_solar,north_facing,near_shops,outdoor_space,label
19025,629000,4172,102,14.3,2,St Kilda,20,needs TLC,False,5,,True,False,False,False,False,,0
17554,554000,2313,99,10.2,2,Sunbury,9,good,False,56,,,False,False,False,True,False,0
9120,481000,2136,65,11.0,1,Footscray,10,needs TLC,False,29,,True,,,False,,False,0
16422,614000,4772,93,4.9,2,Footscray,10,good,True,20,,,True,False,False,True,False,0
16061,487000,2714,97,8.1,2,Sunbury,9,good,False,29,,False,False,True,True,True,False,0
10121,770000,3103,120,9.5,3,Footscray,10,good,False,6,,True,False,False,False,True,False,0
19056,594000,1291,108,16.6,3,Sunbury,9,needs TLC,False,51,,False,True,False,False,True,True,0
3650,705000,2043,98,2.9,2,Carlton,18,needs TLC,False,5,,True,True,,True,False,True,0
3942,785000,1935,123,12.1,3,Balwyn,22,needs TLC,False,22,,True,False,,False,True,False,0
17881,452000,2151,91,3.9,2,Geelong,11,needs TLC,False,42,,True,False,False,False,True,False,0
16676,678000,1040,109,8.6,2,Richmond,16,good,False,19,,True,False,,False,False,True,0
12631,810000,1866,119,5.9,3,Richmond,16,good,False,5,,False,True,False,True,True,True,0
11444,754000,1595,109,3.1,3,Richmond,16,new,False,23,,False,False,,False,True,True,0
12158,561000,2525,75,6.6,1,St Kilda,20,good,False,6,,False,True,True,False,True,True,0
13836,869000,3232,122,16.7,4,Melbourne CBD,15,good,False,11,,False,True,False,False,,,0
3435,339000,1051,97,4.1,2,Geelong,11,good,False,80,,True,False,False,False,True,False,0
18740,650000,2800,82,2.2,2,Brunswick,12,new,False,14,,True,False,False,False,True,True,0
17408,806000,3136,119,14.2,3,Carlton,18,good,False,5,,True,,False,False,False,False,0
15441,728000,1595,94,15.2,3,Richmond,16,good,False,18,,True,False,True,,False,False,0
10407,482000,3080,110,15.0,3,Geelong,11,good,False,90,,,False,False,False,True,True,0
6518,721000,924,109,8.1,2,Carlton,18,good,False,33,,True,True,False,False,True,,0
972,725000,1788,127,17.2,3,Brunswick,12,good,False,31,,True,False,False,False,False,True,0
16488,554000,1281,78,10.5,1,Melbourne CBD,15,needs TLC,False,5,,True,True,,True,False,,0
19731,604000,1016,82,4.4,2,Brunswick,12,good,False,20,,True,False,False,,True,False,0
13138,441000,1432,74,15.1,1,Box Hill,14,needs TLC,False,17,,False,False,False,True,True,True,0
3670,723000,0,127,7.1,3,Box Hill,14,good,False,32,,True,False,False,True,True,True,0
15984,641000,1137,86,2.2,2,Richmond,16,good,False,13,,True,False,False,False,False,False,0
4059,663000,4091,94,10.6,2,Melbourne CBD,15,good,False,5,,False,False,False,False,True,True,0
14977,935000,2142,143,3.5,4,Melbourne CBD,15,needs TLC,False,5,,True,False,False,True,True,False,0
15699,666000,3082,115,14.0,2,Melbourne CBD,15,new,False,33,,False,True,,True,True,True,0
13830,654000,4163,81,4.8,2,Brunswick,12,new,False,26,,False,False,False,False,False,False,0
13420,737000,1489,120,5.7,2,Carlton,18,good,False,5,,True,,False,False,True,False,0
961,512000,1535,104,15.0,2,Sunbury,9,needs TLC,True,53,,False,True,False,False,False,True,0
17745,616000,2775,105,4.4,2,Richmond,16,good,False,26,,True,False,False,False,True,True,0
9865,653000,2574,87,6.1,2,St Kilda,20,needs TLC,False,13,,True,False,False,True,True,False,0
11264,655000,1733,101,1.3,2,St Kilda,20,good,True,29,,True,False,False,False,True,False,0
15783,658000,3234,93,9.6,2,St Kilda,20,new,False,5,,True,False,False,True,True,,0
17197,604000,576,131,8.4,4,Geelong,11,new,False,74,,True,False,True,False,True,False,0
7555,354000,961,96,9.2,2,Geelong,11,good,False,60,,True,False,False,False,True,True,0
10499,602000,867,76,15.1,1,Richmond,16,good,False,25,,True,True,False,False,False,True,0
17060,498000,3479,96,14.4,2,Werribee,8,good,False,42,,False,True,False,True,True,True,0
17929,712000,1473,124,14.0,3,Balwyn,22,needs TLC,False,28,,,True,False,False,True,False,0
7086,581000,2352,90,2.9,2,Werribee,8,good,False,36,,False,True,True,False,True,,0
14754,725000,1075,87,0.7,2,Melbourne CBD,15,needs TLC,False,14,,True,False,False,True,True,False,1
4520,780000,1309,120,8.8,3,Footscray,10,good,False,12,,False,,False,True,True,True,0
3025,857000,2158,125,14.2,3,Melbourne CBD,15,good,False,5,,False,False,,False,True,,0
12122,728000,800,122,10.7,3,Richmond,16,needs TLC,False,12,,True,False,False,True,False,True,0
18495,921000,2981,140,10.2,4,Brunswick,12,good,False,32,,True,False,True,False,True,True,0
5484,750000,2389,107,4.1,3,Richmond,16,new,False,29,,False,,False,False,True,False,0
1420,470000,4229,82,7.5,1,Balwyn,22,new,False,30,,True,False,False,,True,True,0
6210,504000,2608,70,16.6,2,Sunbury,9,good,False,53,,False,True,True,False,True,True,0
10743,668000,1775,82,9.1,2,Footscray,10,good,False,17,,True,False,False,True,True,True,0
16144,714000,2803,86,9.3,2,Richmond,16,good,False,12,,,True,False,False,False,True,0
17618,765000,2941,111,11.3,3,Balwyn,22,good,False,25,,False,True,True,True,False,,0
14569,482000,2228,106,9.8,3,Geelong,11,good,False,90,,False,False,False,False,True,False,0
981,716000,1304,98,7.5,3,Box Hill,14,new,False,5,,False,False,True,False,True,False,0
2784,697000,2084,134,17.2,3,Brunswick,12,needs TLC,False,8,,True,True,False,False,True,True,0
7714,681000,2526,91,12.3,2,Melbourne CBD,15,good,False,12,,True,False,False,True,True,True,1
11519,591000,1307,126,9.9,3,Werribee,8,needs TLC,False,34,,False,False,False,False,False,False,0
8601,476000,2361,74,6.4,1,Werribee,8,good,False,38,,True,False,False,False,True,True,1
11641,441000,2601,84,14.9,1,Werribee,8,needs TLC,False,32,,True,True,False,False,True,False,0
18831,330000,3028,95,0.2,2,Geelong,11,good,False,90,,True,True,False,False,False,True,0
12563,292000,2626,86,7.3,1,Geelong,11,good,False,90,,False,False,False,False,True,True,0
12752,503000,3394,79,11.0,1,Footscray,10,needs TLC,False,22,,,False,False,False,False,True,0
6385,788000,2160,104,12.6,3,St Kilda,20,good,False,5,,False,True,False,True,,True,0
4808,843000,2856,135,9.9,4,Box Hill,14,good,False,43,,True,True,False,False,True,True,0
6196,630000,2131,96,2.2,2,St Kilda,20,good,False,33,,True,False,False,,False,True,0
10649,631000,1945,100,11.2,2,Melbourne CBD,15,good,False,5,,True,True,False,False,False,True,0
7568,567000,2961,91,21.4,1,Carlton,18,new,False,18,,False,True,False,True,True,True,0
16398,765000,2416,119,11.5,3,Box Hill,14,good,False,45,,True,False,False,False,False,False,0
17525,683000,2007,100,17.0,3,Box Hill,14,good,False,20,,,True,True,False,True,True,0
1347,618000,1855,111,14.0,2,St Kilda,20,needs TLC,False,11,,False,,True,False,True,False,0
13125,607000,2770,93,8.9,2,Richmond,16,good,False,14,,True,False,,True,True,True,0
12674,628000,1462,96,9.2,2,Richmond,16,good,False,11,,True,False,False,False,True,True,0
15456,748000,1287,118,17.3,3,Balwyn,22,new,False,39,,True,,False,True,,False,0
14002,624000,882,104,6.3,2,Melbourne CBD,15,good,False,28,,False,True,False,False,False,False,0
18622,805000,2014,115,8.3,3,Footscray,10,needs TLC,False,7,,False,False,False,False,True,True,0
2120,677000,2834,96,11.4,3,Balwyn,22,good,False,48,,True,False,False,False,False,False,0
15305,704000,2891,112,9.5,3,Footscray,10,needs TLC,False,27,,False,False,False,False,False,True,0
4310,677000,1105,86,3.9,2,Melbourne CBD,15,needs TLC,False,20,,True,False,False,True,True,True,0
4485,656000,2124,132,12.9,3,Werribee,8,new,False,39,,True,True,False,False,True,True,0
11014,633000,2246,96,11.5,2,St Kilda,20,needs TLC,False,20,,True,False,False,False,True,True,1
4771,508000,2941,77,4.9,1,Brunswick,12,good,False,25,,True,True,False,False,True,False,0
2713,744000,1639,123,21.1,3,Footscray,10,new,False,25,,False,False,,,False,True,0
12187,758000,3593,158,12.5,4,Werribee,8,needs TLC,False,14,,False,True,True,False,,False,0
16616,526000,2553,114,12.6,2,Werribee,8,good,False,45,,,False,False,True,True,True,0
10948,621000,2582,98,16.1,2,Carlton,18,good,False,14,,True,True,True,False,True,True,0
2546,727000,2310,107,9.7,3,Balwyn,22,good,False,16,,True,True,False,True,True,False,0
12620,582000,2481,82,13.8,1,Melbourne CBD,15,needs TLC,False,14,,True,True,False,True,,True,1
9852,281000,632,89,5.5,1,Geelong,11,good,False,76,,False,False,False,False,True,True,0
4411,787000,1719,122,11.7,3,Brunswick,12,good,False,9,,True,,True,False,True,True,0
19648,541000,3155,81,17.3,2,Box Hill,14,needs TLC,False,22,,False,False,False,True,True,True,0
12345,555000,1313,111,14.5,3,Sunbury,9,new,False,66,,False,True,False,True,True,False,0
12408,575000,2665,80,2.1,1,Richmond,16,good,False,29,,False,False,False,False,False,,0
9611,775000,1374,138,18.1,4,Box Hill,14,good,False,5,,False,False,False,True,True,True,0
10719,564000,1677,76,3.6,1,Footscray,10,good,False,27,,True,False,False,False,False,False,0
7572,781000,1937,110,0.9,3,St Kilda,20,new,False,14,,False,False,False,True,True,False,0
3571,570000,2663,91,9.8,2,Werribee,8,needs TLC,False,55,,True,False,True,True,True,True,0
8603,699000,2205,83,8.5,2,Melbourne CBD,15,good,False,5,,,,False,True,False,False,0
3560,683000,2155,93,11.0,2,Footscray,10,needs TLC,True,5,,True,True,False,False,False,False,0
4992,665000,2422,98,12.7,2,Melbourne CBD,15,good,False,5,,False,,False,False,True,False,0
7440,781000,1715,125,7.7,3,Richmond,16,good,False,17,,False,,False,,False,,0
9326,587000,1898,121,8.9,3,Sunbury,9,good,False,39,,False,True,False,False,True,True,0
2301,762000,761,103,16.6,3,Richmond,16,good,False,13,,False,False,False,True,True,True,0
7667,815000,2516,119,13.8,3,Melbourne CBD,15,good,False,10,,False,False,False,True,True,False,0
5805,721000,1760,89,9.8,2,Melbourne CBD,15,good,True,15,,True,True,False,False,False,True,1
12023,666000,1335,98,12.5,2,Footscray,10,new,False,19,,,False,False,False,True,True,0
15538,565000,2970,66,17.1,1,Footscray,10,new,False,16,,True,True,False,False,False,,0
9758,807000,2616,114,19.4,3,Balwyn,22,good,False,11,,True,False,,False,True,False,0
12015,593000,1401,95,11.4,2,Brunswick,12,needs TLC,False,27,,False,False,False,True,False,False,0
5212,556000,2286,100,6.6,2,Box Hill,14,good,False,29,,True,True,False,False,True,False,0
11549,949000,2512,123,14.0,4,Carlton,18,good,True,22,,True,True,False,False,False,True,0
12367,557000,3325,62,13.7,1,Melbourne CBD,15,good,False,5,,False,False,False,,True,True,0
9271,419000,1353,73,12.4,1,Sunbury,9,good,False,73,,False,False,False,False,True,False,1
3976,465000,1726,75,13.6,1,Balwyn,22,good,False,16,,True,True,False,False,True,True,0
16091,248000,1908,79,8.3,1,Geelong,11,good,False,60,,,True,False,False,True,False,0
17233,342000,1509,64,5.5,1,Geelong,11,good,True,69,,False,False,False,False,True,True,0
17444,721000,2520,132,10.2,4,Sunbury,9,new,False,28,,True,False,False,False,True,True,0
13657,650000,2616,94,10.1,2,Brunswick,12,needs TLC,False,49,,False,False,False,True,True,True,0
15646,583000,2179,102,1.9,2,Melbourne CBD,15,good,False,26,,False,True,False,False,True,True,1
2731,555000,709,68,6.6,1,Footscray,10,good,False,24,,False,False,,False,False,True,0
3299,647000,2038,93,3.2,2,Balwyn,22,good,True,23,,False,False,False,True,True,False,0
8957,481000,3134,99,7.5,1,Footscray,10,new,False,24,,True,False,False,True,True,False,0
17411,636000,2179,115,24.7,3,Werribee,8,good,False,34,,False,True,False,False,True,True,0
15156,571000,2919,75,10.7,1,Balwyn,22,good,False,5,,,True,False,False,False,False,0
17277,595000,281,97,7.0,2,Richmond,16,good,False,24,,False,True,False,False,False,False,0
6704,462000,3080,123,12.7,3,Geelong,11,good,False,48,,False,False,False,True,True,False,0
1969,542000,1690,85,4.8,1,Melbourne CBD,15,good,False,14,,False,False,True,False,False,True,0
4937,678000,2064,102,0.8,2,Balwyn,22,new,False,19,,False,,False,True,False,True,0
2113,662000,2016,85,7.9,2,St Kilda,20,good,True,5,,True,False,True,True,True,True,0
879,781000,1300,124,3.7,3,Melbourne CBD,15,needs TLC,False,11,,True,False,False,,True,,0
19076,601000,2970,99,1.3,2,Box Hill,14,good,False,17,,False,True,,False,True,True,0
12990,529000,1750,71,7.2,1,St Kilda,20,good,False,7,,True,False,True,False,True,True,0
7278,905000,2601,148,14.0,4,Footscray,10,good,False,5,,True,,False,True,False,,0
5710,807000,2255,133,19.3,4,Box Hill,14,good,False,15,,True,False,False,False,False,False,0
12079,438000,2584,94,15.0,2,Geelong,11,good,False,60,,False,True,False,False,True,,0
6688,812000,2793,121,11.1,3,Melbourne CBD,15,good,False,29,,True,False,False,True,False,True,0
6419,525000,3293,120,15.3,3,Geelong,11,needs TLC,False,80,,False,True,False,True,True,False,0
10432,820000,3030,147,11.2,4,Footscray,10,good,False,12,,False,True,False,False,True,,1
9983,832000,924,108,22.1,3,Melbourne CBD,15,new,False,17,,False,True,False,False,True,,0
19074,721000,1221,110,11.2,3,Box Hill,14,good,False,22,,True,False,False,False,False,True,0
4630,514000,1702,98,9.4,2,Sunbury,9,good,False,67,,True,False,False,False,False,False,1
8863,806000,3206,129,14.4,3,Richmond,16,new,False,5,,True,False,False,True,,False,0
4668,712000,1032,92,10.6,2,Box Hill,14,needs TLC,False,8,,True,True,True,False,False,True,0
14164,407000,2628,102,12.2,2,Geelong,11,new,False,55,,True,True,False,False,True,True,1
386,630000,1937,99,7.2,2,Brunswick,12,new,False,5,,False,True,False,False,,,0
4187,632000,2570,88,3.4,2,Melbourne CBD,15,new,False,12,,True,False,False,False,True,True,0
5346,546000,1367,80,2.3,2,Werribee,8,new,False,27,,True,True,False,True,True,False,0
2196,484000,2166,86,8.4,2,Sunbury,9,good,False,53,,True,True,,False,True,False,0
14991,540000,3209,54,11.1,1,St Kilda,20,needs TLC,False,9,,False,False,False,False,True,True,0
12635,667000,3311,96,7.1,2,Melbourne CBD,15,good,False,28,,True,False,False,False,False,True,0
1078,413000,2013,107,9.0,1,Werribee,8,needs TLC,False,52,,False,True,False,True,False,True,0
6287,832000,2523,102,3.1,3,Brunswick,12,good,False,35,,True,True,False,False,True,False,0
5934,580000,3492,109,7.8,2,Richmond,16,good,False,19,,True,True,,False,False,True,0
18513,635000,1558,86,0.3,2,St Kilda,20,good,False,12,,False,True,False,False,,True,0
19718,669000,2449,91,9.2,2,St Kilda,20,new,False,13,,False,True,True,False,True,False,0
13364,828000,1215,110,5.9,4,Balwyn,22,good,False,15,,True,True,False,,True,False,0
8073,667000,2216,105,7.4,2,St Kilda,20,good,False,29,,True,True,False,False,True,True,0
17021,534000,1811,86,0.3,2,Werribee,8,good,False,49,,True,False,False,False,True,,0
9544,571000,2630,78,0.4,1,Carlton,18,new,False,21,,True,True,False,True,,True,0
19095,768000,1187,110,8.6,3,Brunswick,12,good,False,29,,True,True,False,False,False,False,1
13356,649000,1446,87,6.5,2,Footscray,10,good,False,5,,True,False,False,True,True,False,0
18632,563000,2393,87,0.6,1,Brunswick,12,good,False,18,,True,False,False,False,,False,0
2849,611000,1871,119,0.9,2,St Kilda,20,needs TLC,False,5,,False,False,False,False,True,False,0
12792,631000,1657,89,12.4,2,St Kilda,20,new,False,5,,False,False,False,True,True,False,0
7723,778000,1790,116,9.5,3,Richmond,16,good,False,28,,True,False,False,,True,True,0
813,687000,1385,95,4.4,2,Melbourne CBD,15,new,False,9,,False,True,False,False,True,False,0
11194,527000,3067,87,5.3,2,Sunbury,9,new,True,69,,False,False,,False,True,False,0
5136,298000,940,66,4.8,1,Geelong,11,good,False,68,,False,True,,False,False,True,0
8511,693000,3107,97,13.9,2,Balwyn,22,good,False,9,,True,True,True,True,True,False,0
7435,767000,2304,113,7.6,3,Box Hill,14,new,False,23,,,True,False,True,False,False,0
16477,313000,1861,76,5.5,1,Geelong,11,good,True,63,,True,False,False,True,False,True,0
937,306000,1505,79,12.9,1,Geelong,11,new,False,90,,True,True,False,False,False,False,0
11966,624000,1049,91,3.1,2,Carlton,18,new,False,13,,False,True,False,False,False,True,0
1693,626000,2540,128,9.4,3,Werribee,8,good,False,8,,False,True,False,False,False,True,0
6217,756000,1479,96,10.1,2,Melbourne CBD,15,new,False,19,,True,True,False,,True,False,0
9460,712000,1729,110,13.0,3,Balwyn,22,good,False,34,,False,False,False,True,False,True,0
12528,512000,1680,98,3.7,2,Werribee,8,new,False,30,,False,False,False,True,True,False,0
15485,752000,3595,101,20.4,3,Balwyn,22,good,False,28,,True,True,False,True,,,0
5793,592000,2736,116,8.5,3,Sunbury,9,needs TLC,False,44,,True,False,False,False,True,False,1
12267,719000,607,108,8.9,3,St Kilda,20,good,False,5,,,False,False,True,False,False,0
2222,680000,919,91,13.0,2,Brunswick,12,good,False,16,,True,,False,True,False,False,0
15758,622000,2780,98,15.5,2,Box Hill,14,new,False,8,,False,True,True,False,True,,0
4694,947000,2162,141,16.2,4,Carlton,18,new,False,17,,False,True,False,True,False,False,0
10109,473000,1229,91,16.3,1,Werribee,8,new,False,67,,False,True,False,False,False,False,0
5108,590000,2305,79,9.1,1,Brunswick,12,good,False,17,,True,True,False,False,True,,0
13481,631000,2346,85,9.2,2,Werribee,8,good,False,35,,False,True,False,False,True,True,0
4746,809000,2177,103,7.9,3,Balwyn,22,new,False,6,,False,False,False,False,True,,0
1605,830000,1726,136,10.5,4,Brunswick,12,good,True,15,,True,False,False,False,True,True,0
17396,561000,1506,72,4.1,1,Richmond,16,good,True,5,,True,True,False,False,False,True,0
16864,662000,2733,116,11.4,4,Geelong,11,needs TLC,False,66,,True,False,False,False,True,False,0
8214,771000,2632,114,16.9,3,Footscray,10,good,False,21,,True,,,False,True,True,0
1093,887000,2850,130,15.0,4,Melbourne CBD,15,good,False,22,,False,True,False,True,False,False,0
13885,549000,1696,88,3.0,2,Werribee,8,needs TLC,False,23,,False,True,False,False,True,False,0
6312,523000,1546,66,5.3,1,St Kilda,20,good,False,10,,,True,False,False,False,False,0
9013,654000,3159,84,6.4,2,Box Hill,14,good,False,31,,True,False,False,False,True,False,0
352,519000,2241,97,9.6,2,Brunswick,12,good,False,15,,True,,False,False,True,True,1
14783,398000,1374,70,8.5,1,Sunbury,9,needs TLC,False,38,,False,True,False,False,True,True,0
1531,723000,3576,89,5.1,2,Melbourne CBD,15,new,False,13,,True,False,True,False,True,True,0
13592,473000,1815,80,9.7,1,Box Hill,14,good,False,28,,True,True,False,True,True,True,1
15216,538000,2825,79,19.0,1,Brunswick,12,good,False,26,,False,False,False,True,False,False,0
11541,729000,2658,104,10.8,2,Footscray,10,needs TLC,False,20,,True,True,False,False,False,False,0
219,699000,1269,104,4.3,2,Melbourne CBD,15,good,False,26,,True,False,True,True,True,False,0
6814,611000,1128,89,16.4,2,Balwyn,22,good,False,19,,True,False,False,False,True,,0
5358,735000,2766,105,9.0,3,Footscray,10,new,False,5,,False,True,False,True,False,True,0
15730,670000,2752,95,12.6,2,Box Hill,14,good,True,20,,True,False,,False,True,True,0
13044,724000,2504,108,18.1,2,Carlton,18,good,False,23,,True,True,True,False,True,False,0
1454,570000,2971,93,11.9,1,Brunswick,12,good,False,14,,True,True,False,False,True,,1
14933,608000,2207,98,11.4,2,Brunswick,12,needs TLC,False,7,,True,False,,False,True,False,0
4741,687000,2275,102,4.9,3,Box Hill,14,good,False,5,,False,True,True,,True,False,0
2815,679000,2027,105,6.1,2,Brunswick,12,new,True,35,,False,True,False,False,True,True,0
7887,765000,2499,110,6.2,3,Footscray,10,new,False,19,,False,False,True,False,True,False,0
4974,682000,3175,107,8.5,2,Carlton,18,new,False,5,,,True,False,False,False,True,0
1183,681000,3064,132,10.4,4,Geelong,11,good,False,90,,True,True,False,True,True,True,0
10036,544000,2882,83,10.8,1,Melbourne CBD,15,good,False,5,,True,,False,True,True,False,0
3948,450000,1912,89,1.5,2,Geelong,11,good,False,45,,False,True,False,True,True,True,0
3190,573000,1880,99,15.8,2,Werribee,8,good,False,51,,True,True,True,,True,True,0
14481,526000,1592,109,11.1,3,Geelong,11,good,False,68,,False,True,True,False,True,False,0
19827,639000,1299,110,16.9,3,Werribee,8,new,False,22,,,False,False,True,True,False,0
9624,683000,685,137,7.3,3,Box Hill,14,good,False,26,,True,True,True,False,True,True,1
1007,612000,1380,87,7.6,1,Richmond,16,needs TLC,False,14,,False,True,False,False,True,True,0
2326,413000,1217,62,5.3,1,Werribee,8,new,False,44,,False,,False,True,True,False,0
10646,671000,1897,102,7.6,2,Richmond,16,good,False,12,,True,False,False,False,True,False,0
19524,933000,2409,136,19.3,4,Richmond,16,good,False,21,,True,False,True,False,True,True,0
17726,853000,1870,154,11.3,4,Box Hill,14,good,False,11,,False,False,False,False,True,False,0
5744,675000,1328,102,8.6,2,Balwyn,22,good,False,8,,False,False,False,True,False,False,0
12681,398000,1625,97,3.1,2,Geelong,11,good,False,90,,False,True,False,True,True,True,0
14584,701000,1958,115,11.6,3,St Kilda,20,good,False,12,,False,False,False,,True,True,0
19258,773000,1360,133,15.1,4,Balwyn,22,good,False,35,,True,,False,False,True,,0
11882,863000,2551,128,0.7,4,St Kilda,20,good,False,20,,False,False,,False,False,True,0
1028,550000,1092,79,16.1,1,Footscray,10,good,False,19,,True,True,False,False,True,False,0
4070,632000,2150,118,1.3,3,Sunbury,9,new,False,38,,False,False,False,False,True,True,0
18573,493000,1379,98,7.8,2,Sunbury,9,good,False,25,,True,True,,False,,True,0
14653,574000,1843,98,13.2,2,St Kilda,20,needs TLC,False,42,,False,True,False,False,,,0
6651,631000,2004,94,6.8,2,St Kilda,20,needs TLC,False,25,,False,False,False,False,True,True,0
15784,666000,1426,103,1.8,2,Melbourne CBD,15,good,False,5,,False,False,,False,False,True,0
17649,379000,2394,107,3.7,2,Geelong,11,new,False,90,,False,True,True,True,True,False,0
4623,508000,2706,99,13.3,2,Werribee,8,new,False,41,,False,True,False,False,True,False,0
10386,650000,3719,85,10.3,2,St Kilda,20,good,False,29,,True,False,False,True,True,True,0
13671,789000,2611,114,8.6,3,St Kilda,20,good,False,6,,False,True,False,True,True,False,0
14047,624000,1452,84,17.5,2,Brunswick,12,good,False,18,,True,True,True,,False,False,0
1963,455000,2047,112,3.6,2,Sunbury,9,needs TLC,False,32,,,False,False,True,True,True,0
19875,550000,480,85,0.2,1,Richmond,16,needs TLC,False,5,,,False,False,False,True,True,0
1600,573000,2479,118,1.6,3,Werribee,8,needs TLC,False,52,,True,False,False,True,True,False,0
9676,766000,2794,128,11.9,3,Melbourne CBD,15,new,False,5,,False,,False,False,True,False,0
10953,608000,2913,96,14.1,2,Werribee,8,good,False,14,,False,False,False,True,True,False,0
4334,554000,2407,63,15.6,1,Footscray,10,good,False,23,,True,False,False,True,False,True,0
12100,654000,3618,105,14.0,2,Footscray,10,good,False,21,,True,,False,True,True,False,1
6956,771000,2283,121,8.5,3,Carlton,18,good,False,15,,True,True,False,False,True,,0
18822,727000,522,92,6.1,2,Melbourne CBD,15,needs TLC,False,5,,False,False,False,,,True,0
8546,495000,2268,74,2.9,1,Carlton,18,good,False,7,,False,False,False,False,False,False,0
15975,416000,3523,91,8.9,2,Geelong,11,good,False,72,,True,False,False,False,True,True,0
13723,563000,3130,120,5.1,2,Werribee,8,good,False,38,,True,False,False,True,True,True,0
696,847000,1492,141,12.1,4,Brunswick,12,new,False,25,,True,False,True,,False,True,0
15631,718000,1803,114,15.8,3,Balwyn,22,good,False,8,,False,True,False,True,True,True,0
13590,832000,1369,136,5.1,4,Richmond,16,needs TLC,False,5,,True,True,False,,False,True,0
14522,675000,2828,110,5.0,2,Carlton,18,good,False,5,,True,False,False,False,False,True,0
19918,469000,2425,79,3.1,1,Box Hill,14,new,False,5,,False,False,False,True,True,,0
9771,519000,2333,134,11.0,3,Geelong,11,good,False,51,,False,False,False,True,True,True,0
13378,668000,3022,98,2.4,2,Box Hill,14,new,False,5,,False,False,False,False,False,True,0
1035,731000,2141,114,14.0,3,Balwyn,22,good,False,11,,False,False,True,False,True,True,0
10843,444000,2312,88,11.7,1,Werribee,8,new,False,42,,False,True,True,True,True,True,0
16593,557000,2674,80,11.8,2,Balwyn,22,good,False,8,,False,True,False,True,True,True,0
10422,505000,1113,80,0.3,2,Sunbury,9,new,False,40,,False,False,False,False,True,False,0
10980,676000,1092,90,5.4,2,Brunswick,12,good,False,12,,False,False,False,True,False,,0
2128,623000,1400,85,2.7,2,Footscray,10,new,False,24,,,False,False,False,True,,0
12188,887000,2839,139,10.3,4,Brunswick,12,good,False,16,,False,True,False,,,False,0
5971,665000,2550,111,12.9,2,Balwyn,22,good,False,15,,True,,False,False,False,True,0
13226,670000,1507,98,12.0,2,Brunswick,12,good,False,5,,False,False,False,False,True,False,0
994,669000,3544,97,9.8,2,Footscray,10,good,False,21,,False,,False,False,True,True,0
15085,547000,2688,113,10.8,2,Brunswick,12,good,False,14,,True,False,False,False,True,False,1
14846,747000,2520,80,2.4,2,Melbourne CBD,15,good,False,5,,,False,True,False,True,True,0
14946,645000,2520,85,11.2,2,Richmond,16,good,True,5,,True,False,True,False,True,False,0
448,760000,3164,90,4.3,3,St Kilda,20,good,False,13,,True,False,False,False,True,False,1
17278,608000,2454,85,6.5,2,Box Hill,14,good,False,29,,True,False,False,False,True,True,0
5454,783000,3212,117,20.1,3,Footscray,10,needs TLC,False,12,,True,True,False,,False,True,0
3212,641000,2550,112,16.7,3,Sunbury,9,good,False,56,,True,False,False,False,False,True,0
5562,889000,1996,121,19.1,4,Carlton,18,good,False,5,,,False,False,True,False,True,0
