id,asking_price,body_corp,internal_m2,balcony_m2,beds,north_facing,suburb,has_parking,has_storage,has_solar,near_shops,livability,condition,has_cladding,outdoor_space,sold_date,travel_time_mins
90,722000,2130,121.4,9.8,3,False,Box Hill,False,False,False,True,14,needs TLC,False,False,2025-07-14,25
91,525000,2916,88.0,9.8,1,False,St Kilda,True,False,True,False,20,good,False,True,,14
92,614000,2354,91.5,6.0,2,False,Box Hill,False,False,False,True,14,needs TLC,False,True,2025-07-07,8
93,640000,533,75.2,3.0,2,False,Footscray,True,False,False,True,10,good,False,True,2025-07-07,27
94,473000,2186,104.5,4.2,2,False,Sunbury,True,False,False,True,9,new,False,True,,43
95,885000,2594,138.3,21.3,4,False,Richmond,False,False,False,True,16,good,False,False,2025-08-04,18
96,534000,2537,82.3,7.5,1,False,Carlton,True,True,False,True,18,good,False,False,2025-08-18,11
97,565000,2426,81.1,12.3,2,False,Werribee,True,False,False,False,8,needs TLC,False,False,,37
98,545000,3084,79.4,8.9,1,False,Footscray,True,False,False,True,10,good,False,True,2025-07-14,19
99,593000,1077,106.8,5.3,2,False,Box Hill,True,False,False,False,14,new,True,True,,29
100,385000,2194,80.6,9.3,1,True,Sunbury,False,False,False,False,9,good,False,True,2025-07-14,53
101,662000,1679,101.0,6.6,2,False,Footscray,True,False,False,False,10,good,False,True,,9
102,686000,3109,93.8,9.5,2,False,St Kilda,True,True,False,True,20,good,False,False,2025-07-21,35
103,782000,1765,129.3,13.8,3,False,Melbourne CBD,True,False,False,False,15,good,False,False,2025-07-21,19
104,536000,3457,56.9,7.0,1,False,Brunswick,True,True,False,True,12,needs TLC,False,False,,16
105,574000,1830,64.0,9.6,1,True,Carlton,False,False,True,True,18,good,False,False,2025-08-04,15
106,752000,2499,125.6,13.7,3,True,Richmond,False,True,False,True,16,good,False,True,2025-07-28,13
107,651000,1039,89.3,14.6,2,False,Footscray,False,False,False,False,10,good,False,True,,14
108,624000,3405,97.5,12.9,2,True,Box Hill,False,False,False,False,14,needs TLC,False,True,2025-08-18,16
109,656000,2530,93.1,0.9,2,True,Balwyn,True,True,False,True,22,needs TLC,False,True,,16
110,616000,1511,111.9,12.7,3,True,Sunbury,True,False,False,True,9,good,False,False,,41
111,502000,2765,114.0,3.9,3,True,Geelong,True,False,False,True,11,good,False,True,,51
112,628000,2879,107.6,2.7,2,False,Balwyn,True,True,False,True,22,good,False,False,,22
113,541000,3948,95.6,4.6,2,False,Werribee,True,True,False,True,8,good,False,False,,45
114,709000,1468,127.7,13.9,3,False,Richmond,False,True,False,False,16,good,False,False,,23
115,781000,2232,95.7,15.2,3,False,Richmond,False,True,False,False,16,new,False,False,2025-07-21,5
116,583000,2277,98.1,0.8,2,False,Balwyn,True,False,False,False,22,new,False,False,,28
117,770000,2063,102.2,12.7,3,True,Carlton,False,False,False,True,18,new,False,False,,17
118,630000,2115,100.1,5.3,2,False,Brunswick,True,False,False,False,12,good,False,True,2025-08-18,19
119,779000,1903,101.1,13.0,3,False,Box Hill,False,False,False,True,14,good,False,False,,16
120,675000,2275,120.1,11.4,3,False,Balwyn,True,True,False,True,22,new,False,False,,14
121,565000,2266,84.1,7.1,2,True,Werribee,True,False,False,True,8,needs TLC,False,False,2025-08-04,34
122,639000,2859,90.0,4.7,2,False,Richmond,False,False,False,True,16,good,False,False,2025-07-28,10
123,510000,1649,73.8,1.9,1,False,Brunswick,True,False,False,False,12,good,False,False,,24
124,547000,2257,86.0,15.3,2,False,Werribee,False,False,False,False,8,good,False,True,2025-08-04,47
125,540000,2004,77.2,6.5,1,False,St Kilda,True,False,False,True,20,good,False,True,2025-08-18,5
126,658000,1028,95.0,8.2,2,True,Brunswick,True,True,False,True,12,needs TLC,False,False,2025-08-11,25
127,457000,1672,101.2,14.1,2,True,Sunbury,True,False,False,False,9,good,False,True,,53
128,544000,1659,96.8,6.7,2,True,Werribee,True,True,False,True,8,new,False,False,2025-07-21,52
129,517000,2603,69.9,9.2,1,True,Box Hill,False,True,False,True,14,good,False,True,,23
130,763000,1977,116.3,11.0,3,True,Footscray,True,False,False,True,10,needs TLC,False,True,2025-07-28,22
131,729000,1517,119.3,17.1,3,True,Richmond,True,True,False,True,16,new,False,False,,8
132,625000,2219,94.0,11.1,2,False,Box Hill,False,False,False,True,14,new,False,False,2025-08-11,16
133,676000,2816,92.5,0.7,2,False,St Kilda,True,False,False,False,20,good,False,True,,7
134,600000,3162,88.1,14.5,2,False,Box Hill,False,True,False,False,14,good,False,False,,14
135,493000,2233,67.7,3.6,1,True,Balwyn,True,False,False,False,22,good,False,False,,38
136,556000,1759,69.9,6.6,1,True,Carlton,True,True,False,True,18,good,False,True,,11
137,561000,2493,79.9,9.1,2,False,Werribee,False,True,False,True,8,new,False,True,2025-08-04,53
138,576000,2779,98.1,10.7,2,False,Box Hill,True,False,False,False,14,needs TLC,True,True,,27
139,505000,2913,84.0,7.5,1,True,St Kilda,True,False,False,True,20,new,False,True,,7
140,593000,1726,99.7,10.4,2,True,Box Hill,True,False,False,True,14,needs TLC,False,False,2025-07-28,25
141,675000,1603,110.3,4.2,2,False,Richmond,True,False,False,True,16,good,False,True,,5
142,447000,1544,71.1,1.1,1,False,Werribee,True,True,False,True,8,new,False,True,,35
143,725000,2043,132.3,5.0,4,True,Sunbury,True,True,False,True,9,good,False,True,2025-08-04,32
144,614000,1919,103.2,11.9,2,True,Box Hill,False,False,False,False,14,good,False,False,,24
145,650000,1171,80.5,15.7,2,False,Melbourne CBD,True,False,False,True,15,needs TLC,False,True,,14
146,563000,2237,76.6,10.4,1,True,St Kilda,False,False,False,True,20,good,False,False,,14
147,591000,2258,70.8,10.1,1,False,Footscray,False,False,False,True,10,good,False,False,,25
148,638000,1783,116.6,10.0,2,False,Brunswick,False,True,False,True,12,good,False,False,,11
149,735000,1753,117.7,8.0,3,True,Box Hill,True,False,False,False,14,good,False,True,,30
150,612000,2020,130.1,7.7,4,True,Geelong,False,True,False,True,11,new,False,True,,61
151,487000,2091,75.3,8.9,1,False,Balwyn,True,True,False,False,22,good,False,False,,7
152,635000,2674,98.5,11.1,2,False,Brunswick,True,True,False,True,12,good,False,False,,13
153,391000,2340,95.7,4.0,2,False,Geelong,True,False,False,True,11,new,False,False,,61
154,384000,2017,94.7,7.5,2,False,Geelong,False,False,False,True,11,new,False,True,2025-08-11,63
155,494000,2820,114.3,15.4,3,True,Geelong,True,False,False,False,11,needs TLC,False,True,2025-08-18,51
156,572000,1092,81.3,11.0,1,False,Melbourne CBD,True,True,False,True,15,good,False,True,,10
157,612000,2366,104.9,8.1,2,False,Carlton,False,False,False,True,18,new,False,True,,22
158,757000,1749,124.3,16.6,3,True,Richmond,True,True,False,True,16,good,False,False,,35
159,442000,3021,97.1,12.1,2,False,Geelong,False,False,False,True,11,good,False,True,,72
160,651000,868,95.1,3.9,2,False,Balwyn,True,False,False,True,22,new,True,True,,26
161,500000,2000,100.0,10.0,3,True,St Kilda,True,False,True,True,20,new,False,True,,6
162,826000,2590,129.5,19.5,4,False,Box Hill,False,False,False,True,14,good,False,True,,31
163,707000,3088,112.2,14.4,3,True,Balwyn,True,True,False,True,22,new,False,True,,43
164,809000,2147,139.0,8.5,4,False,St Kilda,False,False,False,True,20,needs TLC,False,False,,16
165,707000,1667,120.6,3.7,3,False,Footscray,True,False,False,True,10,good,False,False,,19
166,734000,776,101.8,13.5,3,False,Footscray,True,False,False,False,10,needs TLC,False,False,2025-08-18,14
167,588000,1938,80.1,6.6,2,True,Brunswick,True,True,False,True,12,new,False,True,,29
168,759000,2365,113.1,7.2,3,True,Brunswick,False,False,False,True,12,new,False,True,,9
169,787000,2524,121.6,9.3,3,False,Richmond,True,False,False,True,16,new,False,True,,11
170,776000,1935,105.5,8.5,3,False,Melbourne CBD,True,False,False,True,15,needs TLC,False,False,,5
171,663000,1671,101.1,6.6,2,False,Richmond,True,True,False,True,16,good,False,True,,29
172,541000,2490,99.4,9.2,2,False,Sunbury,False,False,False,True,9,good,True,True,,56
173,780000,3061,116.0,9.1,3,False,St Kilda,False,False,False,True,20,needs TLC,True,False,,16
174,534000,2888,72.0,13.4,1,False,Brunswick,False,False,False,True,12,good,False,True,,13
175,686000,2672,98.8,10.0,2,False,Melbourne CBD,True,True,False,True,15,good,False,False,,9
176,660000,3061,92.0,2.5,2,False,St Kilda,False,False,False,True,20,needs TLC,False,True,,23
177,365000,3084,98.8,19.4,2,False,Geelong,False,False,False,True,11,new,False,True,,75
178,660000,3046,118.7,17.0,3,False,Werribee,False,False,False,True,8,needs TLC,False,True,,41
179,769000,3046,119.7,17.2,4,False,Werribee,True,True,False,False,8,needs TLC,False,False,,36
180,631000,2195,91.9,1.3,2,False,Footscray,False,False,False,False,10,needs TLC,False,False,,11
181,656000,2254,106.7,3.9,2,False,Balwyn,True,False,False,False,22,new,False,True,,22
